City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Norman Wells,CA,65.282,-126.8329,-36.36,61,20,3.44,few clouds
300,Saint-Pierre,RE,-21.3393,55.4781,78.44,81,0,5.75,clear sky
301,Mecca,SA,21.4267,39.8261,73.65,71,0,0.22,clear sky
302,Minot,US,48.2325,-101.2963,32.81,36,100,7.47,overcast clouds
303,Bambanglipuro,ID,-7.95,110.2833,63.61,90,100,5.23,light rain
304,Fernan-Nunez,ES,37.6884,-4.7247,54.28,71,91,4.68,overcast clouds
305,Constantine,DZ,36.365,6.6147,45.81,65,0,9.22,clear sky
306,Caravelas,BR,-17.7125,-39.2481,75.99,81,14,6.6,few clouds
307,Marawi,PH,7.9986,124.2928,70.65,98,85,4.14,overcast clouds
308,Rockland,US,41.1668,-74.0496,47.64,58,79,1.01,broken clouds
309,Saint-Francois,FR,46.4154,3.9054,41.47,87,75,6.91,broken clouds
310,Gao,ML,16.6362,1.637,75.61,13,3,10.92,clear sky
311,Yulara,AU,-25.2406,130.9889,71.44,46,57,16.11,broken clouds
312,Egvekinot,RU,66.3167,-179.1667,-26.07,94,31,5.64,scattered clouds
313,Lagunas,PE,-5.2269,-75.6753,82.38,78,99,3.13,overcast clouds
314,Pyapon,MM,16.2833,95.6833,71.28,75,39,4.03,scattered clouds
315,Rincon,US,32.296,-81.2354,75.65,53,100,4.52,overcast clouds
316,Dakar,SN,14.6937,-17.4441,74.28,88,100,6.91,dust
317,Pithiviers,FR,48.1667,2.25,39.87,82,69,13.67,broken clouds
318,Fortuna,US,40.5982,-124.1573,58.42,100,90,0.0,overcast clouds
319,Magadan,RU,59.5667,150.8,0.91,95,100,7.29,overcast clouds
320,Dingle,PH,10.9995,122.6711,71.62,92,57,8.25,broken clouds
321,Lavrentiya,RU,65.5833,-171.0,4.05,92,22,4.59,few clouds
322,Atar,MR,20.5169,-13.0499,75.07,16,34,9.28,scattered clouds
323,Methoni,GR,36.8197,21.7049,54.21,75,2,16.64,clear sky
324,Arbuzynka,UA,47.9097,31.3196,30.13,73,33,6.6,scattered clouds
325,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,24.16,light snow
326,Krasnovishersk,RU,60.4078,57.082,23.4,90,97,5.44,overcast clouds
327,Kieta,PG,-6.2167,155.6333,82.29,77,100,2.19,overcast clouds
328,Raga,SS,8.4596,25.678,79.86,28,26,4.14,scattered clouds
329,Lisakovsk,KZ,52.5369,62.4936,29.98,92,100,11.92,overcast clouds
330,Lundazi,ZM,-12.2929,33.1782,73.83,50,41,11.81,scattered clouds
331,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,65,40,10.36,scattered clouds
332,Kidal,ML,18.4411,1.4078,76.91,14,94,6.67,overcast clouds
333,Katsina,NG,12.9894,7.6006,72.88,20,79,9.19,broken clouds
334,Lakatoro,VU,-16.0999,167.4164,81.54,74,96,8.28,overcast clouds
335,Cruzilia,BR,-21.8386,-44.8083,67.48,83,19,5.19,few clouds
336,Arbazh,RU,57.6804,48.3065,25.36,83,99,13.47,overcast clouds
337,Lasa,IT,46.6166,10.7002,34.54,96,100,2.46,light snow
338,Danane,CI,7.2596,-8.155,79.39,58,93,0.72,overcast clouds
339,Izumo,JP,35.3667,132.7667,42.75,77,100,6.15,overcast clouds
340,Rio Gallegos,AR,-51.6226,-69.2181,69.85,24,75,27.63,broken clouds
